Year,Month,Value,Anomaly
1981,3,31.8,1.2
1981,4,46.0,3.2
1981,5,55.2,0.7
1981,6,64.0,0.6
1981,7,68.5,0.3
1981,8,65.7,-0.3
1981,9,57.3,-1.6
1981,10,44.1,-3.9
1981,11,36.5,0.2
1981,12,25.4,0.9
1982,1,12.0,-7.8
1982,2,21.4,0.7
1982,3,29.7,-0.9
1982,4,40.4,-2.4
1982,5,57.2,2.7
1982,6,60.7,-2.7
1982,7,68.1,-0.1
1982,8,63.0,-3.0
1982,9,59.0,0.1
1982,10,48.5,0.5
1982,11,40.1,3.8
1982,12,32.2,7.7
1983,1,22.2,2.4
1983,2,25.0,4.3
1983,3,34.4,3.8
1983,4,41.9,-0.9
1983,5,52.0,-2.5
1983,6,64.4,1.0
1983,7,69.7,1.5
1983,8,67.9,1.9
1983,9,60.9,2.0
1983,10,48.4,0.4
1983,11,37.5,1.2
1983,12,21.9,-2.6
1984,1,16.7,-3.1
1984,2,30.0,9.3
1984,3,24.2,-6.4
1984,4,43.8,1.0
1984,5,51.6,-2.9
1984,6,64.8,1.4
1984,7,67.2,-1.0
1984,8,68.4,2.4
1984,9,56.4,-2.5
1984,10,51.2,3.2
1984,11,36.5,0.2
1984,12,31.6,7.1
1985,1,16.1,-3.7
1985,2,22.8,2.1
1985,3,33.0,2.4
1985,4,45.6,2.8
1985,5,56.3,1.8
1985,6,59.5,-3.9
1985,7,67.0,-1.2
1985,8,65.6,-0.4
1985,9,60.7,1.8
1985,10,48.9,0.9
1985,11,38.9,2.6
1985,12,21.8,-2.7
1986,1,21.2,1.4
1986,2,20.3,-0.4
1986,3,33.9,3.3
1986,4,46.7,3.9
1986,5,57.9,3.4
1986,6,61.6,-1.8
1986,7,67.5,-0.7
1986,8,64.3,-1.7
1986,9,57.5,-1.4
1986,10,47.6,-0.4
1986,11,34.3,-2.0
1986,12,28.2,3.7
1987,1,20.3,0.5
1987,2,18.9,-1.8
1987,3,34.6,4.0
1987,4,47.4,4.6
1987,5,56.1,1.6
1987,6,65.2,1.8
1987,7,70.1,1.9
1987,8,64.8,-1.2
1987,9,58.7,-0.2
1987,10,45.0,-3.0
1987,11,37.6,1.3
1987,12,29.2,4.7
1988,1,19.2,-0.6
1988,2,21.6,0.9
1988,3,31.3,0.7
1988,4,43.1,0.3
1988,5,56.4,1.9
1988,6,61.8,-1.6
1988,7,71.0,2.8
1988,8,69.0,3.0
1988,9,57.4,-1.5
1988,10,43.8,-4.2
1988,11,39.1,2.8
1988,12,24.4,-0.1
1989,1,25.6,5.8
1989,2,20.8,0.1
1989,3,30.3,-0.3
1989,4,40.3,-2.5
1989,5,55.0,0.5
1989,6,64.7,1.3
1989,7,68.2,0.0
1989,8,65.6,-0.4
1989,9,59.1,0.2
1989,10,49.1,1.1
1989,11,35.8,-0.5
1989,12,11.1,-13.4
1990,1,30.3,10.5
1990,2,26.7,6.0
1990,3,34.5,3.9
1990,4,45.6,2.8
1990,5,52.1,-2.4
1990,6,63.9,0.5
1990,7,68.2,0.0
1990,8,67.0,1.0
1990,9,58.0,-0.9
1990,10,50.7,2.7
1990,11,39.5,3.2
1990,12,30.8,6.3
1991,1,21.0,1.2
1991,2,27.6,6.9
1991,3,34.7,4.1
1991,4,47.4,4.6
1991,5,60.0,5.5
1991,6,65.5,2.1
1991,7,68.6,0.4
1991,8,68.2,2.2
1991,9,57.4,-1.5
1991,10,50.1,2.1
1991,11,37.0,0.7
1991,12,27.5,3.0
1992,1,22.2,2.4
1992,2,23.9,3.2
1992,3,27.5,-3.1
1992,4,41.6,-1.2
1992,5,54.4,-0.1
1992,6,61.2,-2.2
1992,7,64.6,-3.6
1992,8,63.9,-2.1
1992,9,58.6,-0.3
1992,10,44.1,-3.9
1992,11,36.2,-0.1
1992,12,27.0,2.5
1993,1,24.3,4.5
1993,2,14.9,-5.8
1993,3,27.6,-3.0
1993,4,44.2,1.4
1993,5,55.2,0.7
1993,6,62.4,-1.0
1993,7,69.6,1.4
1993,8,67.8,1.8
1993,9,57.6,-1.3
1993,10,45.6,-2.4
1993,11,36.4,0.1
1993,12,24.5,0.0
1994,1,10.6,-9.2
1994,2,16.9,-3.8
1994,3,29.1,-1.5
1994,4,44.9,2.1
1994,5,52.2,-2.3
1994,6,65.8,2.4
1994,7,70.4,2.2
1994,8,64.5,-1.5
1994,9,58.2,-0.7
1994,10,47.9,-0.1
1994,11,41.5,5.2
1994,12,30.1,5.6
1995,1,27.2,7.4
1995,2,18.6,-2.1
1995,3,35.3,4.7
1995,4,39.8,-3.0
1995,5,53.7,-0.8
1995,6,66.1,2.7
1995,7,70.6,2.4
1995,8,68.7,2.7
1995,9,56.8,-2.1
1995,10,52.1,4.1
1995,11,33.0,-3.3
1995,12,20.8,-3.7
1996,1,18.9,-0.9
1996,2,21.8,1.1
1996,3,27.8,-2.8
1996,4,41.6,-1.2
1996,5,52.6,-1.9
1996,6,65.3,1.9
1996,7,66.4,-1.8
1996,8,67.3,1.3
1996,9,60.2,1.3
1996,10,48.0,0.0
1996,11,32.6,-3.7
1996,12,31.9,7.4
1997,1,20.0,0.2
1997,2,27.3,6.6
1997,3,30.1,-0.5
1997,4,41.0,-1.8
1997,5,49.8,-4.7
1997,6,64.9,1.5
1997,7,66.9,-1.3
1997,8,64.9,-1.1
1997,9,57.8,-1.1
1997,10,46.9,-1.1
1997,11,34.5,-1.8
1997,12,27.8,3.3
1998,1,27.5,7.7
1998,2,30.2,9.5
1998,3,34.8,4.2
1998,4,46.0,3.2
1998,5,60.4,5.9
1998,6,63.7,0.3
1998,7,67.7,-0.5
1998,8,68.0,2.0
1998,9,61.1,2.2
1998,10,49.4,1.4
1998,11,38.5,2.2
1998,12,32.8,8.3
1999,1,20.7,0.9
1999,2,27.1,6.4
1999,3,30.1,-0.5
1999,4,44.0,1.2
1999,5,57.4,2.9
1999,6,66.7,3.3
1999,7,71.3,3.1
1999,8,65.8,-0.2
1999,9,62.1,3.2
1999,10,46.7,-1.3
1999,11,42.2,5.9
1999,12,28.6,4.1
2000,1,19.2,-0.6
2000,2,25.9,5.2
2000,3,37.9,7.3
2000,4,42.6,-0.2
2000,5,56.4,1.9
2000,6,63.6,0.2
2000,7,64.8,-3.4
2000,8,65.4,-0.6
2000,9,58.3,-0.6
2000,10,48.8,0.8
2000,11,36.3,0.0
2000,12,19.4,-5.1
2001,1,22.4,2.6
2001,2,24.7,4.0
2001,3,28.0,-2.6
2001,4,44.4,1.6
2001,5,57.0,2.5
2001,6,64.8,1.4
2001,7,65.9,-2.3
2001,8,70.0,4.0
2001,9,59.4,0.5
2001,10,50.1,2.1
2001,11,43.1,6.8
2001,12,33.4,8.9
2002,1,29.1,9.3
2002,2,29.1,8.4
2002,3,33.2,2.6
2002,4,45.9,3.1
2002,5,51.3,-3.2
2002,6,64.4,1.0
2002,7,70.0,1.8
2002,8,69.0,3.0
2002,9,63.1,4.2
2002,10,46.2,-1.8
2002,11,36.0,-0.3
2002,12,24.8,0.3
2003,1,14.6,-5.2
2003,2,18.3,-2.4
2003,3,31.7,1.1
2003,4,41.3,-1.5
2003,5,53.8,-0.7
2003,6,62.7,-0.7
2003,7,68.1,-0.1
2003,8,69.1,3.1
2003,9,60.5,1.6
2003,10,46.2,-1.8
2003,11,40.5,4.2
2003,12,27.5,3.0
2004,1,12.8,-7.0
2004,2,21.6,0.9
2004,3,34.8,4.2
2004,4,44.1,1.3
2004,5,58.5,4.0
2004,6,62.0,-1.4
2004,7,67.3,-0.9
2004,8,65.8,-0.2
2004,9,61.9,3.0
2004,10,48.4,0.4
2004,11,38.8,2.5
2004,12,26.0,1.5
2005,1,18.6,-1.2
2005,2,24.1,3.4
2005,3,27.6,-3.0
2005,4,45.9,3.1
2005,5,51.0,-3.5
2005,6,69.1,5.7
2005,7,71.1,2.9
2005,8,70.1,4.1
2005,9,63.2,4.3
2005,10,49.7,1.7
2005,11,40.5,4.2
2005,12,23.8,-0.7
2006,1,30.1,10.3
2006,2,24.7,4.0
2006,3,31.7,1.1
2006,4,45.7,2.9
2006,5,55.7,1.2
2006,6,64.4,1.0
2006,7,71.0,2.8
2006,8,66.8,0.8
2006,9,58.1,-0.8
2006,10,46.6,-1.4
2006,11,42.4,6.1
2006,12,34.4,9.9
2007,1,25.2,5.4
2007,2,16.2,-4.5
2007,3,30.2,-0.4
2007,4,41.2,-1.6
2007,5,56.2,1.7
2007,6,65.7,2.3
2007,7,66.7,-1.5
2007,8,67.8,1.8
2007,9,62.0,3.1
2007,10,54.9,6.9
2007,11,35.9,-0.4
2007,12,25.9,1.4
2008,1,25.9,6.1
2008,2,23.5,2.8
2008,3,29.3,-1.3
2008,4,48.4,5.6
2008,5,51.7,-2.8
2008,6,66.6,3.2
2008,7,69.1,0.9
2008,8,64.8,-1.2
2008,9,60.7,1.8
2008,10,46.4,-1.6
2008,11,36.4,0.1
2008,12,26.5,2.0
2009,1,15.0,-4.8
2009,2,24.7,4.0
2009,3,33.1,2.5
2009,4,45.8,3.0
2009,5,55.1,0.6
2009,6,62.1,-1.3
2009,7,65.2,-3.0
2009,8,67.9,1.9
2009,9,58.4,-0.5
2009,10,45.9,-2.1
2009,11,41.8,5.5
2009,12,25.2,0.7
2010,1,21.8,2.0
2010,2,24.1,3.4
2010,3,38.2,7.6
2010,4,49.2,6.4
2010,5,58.6,4.1
2010,6,65.1,1.7
2010,7,71.4,3.2
2010,8,68.2,2.2
2010,9,60.9,2.0
2010,10,48.5,0.5
2010,11,37.9,1.6
2010,12,23.1,-1.4
2011,1,18.6,-1.2
2011,2,21.8,1.1
2011,3,30.9,0.3
2011,4,45.0,2.2
2011,5,58.0,3.5
2011,6,65.1,1.7
2011,7,71.4,3.2
2011,8,67.6,1.6
2011,9,62.6,3.7
2011,10,49.6,1.6
2011,11,43.1,6.8
2011,12,31.8,7.3
2012,1,26.0,6.2
2012,2,29.9,9.2
2012,3,43.3,12.7
2012,4,43.9,1.1
2012,5,60.5,6.0
2012,6,64.6,1.2
2012,7,71.4,3.2
2012,8,68.4,2.4
2012,9,59.9,1.0
2012,10,50.9,2.9
2012,11,35.7,-0.6
2012,12,31.6,7.1
2013,1,24.3,4.5
2013,2,23.3,2.6
2013,3,30.6,0.0
2013,4,43.4,0.6
2013,5,57.2,2.7
2013,6,64.0,0.6
2013,7,71.2,3.0
2013,8,65.8,-0.2
2013,9,58.3,-0.6
2013,10,50.8,2.8
2013,11,34.4,-1.9
2013,12,25.4,0.9
2014,1,16.9,-2.9
2014,2,18.8,-1.9
2014,3,23.6,-7.0
2014,4,43.5,0.7
2014,5,56.7,2.2
2014,6,65.0,1.6
2014,7,67.4,-0.8
2014,8,65.3,-0.7
2014,9,60.1,1.2
2014,10,51.3,3.3
2014,11,35.3,-1.0
2014,12,30.2,5.7
2015,1,16.2,-3.6
2015,2,9.2,-11.5
2015,3,25.5,-5.1
2015,4,43.3,0.5
2015,5,61.0,6.5
2015,6,63.0,-0.4
2015,7,68.1,-0.1
2015,8,67.5,1.5
2015,9,65.0,6.1
2015,10,47.4,-0.6
2015,11,42.8,6.5
2015,12,39.3,14.8
2016,1,23.7,3.9
2016,2,26.7,6.0
2016,3,37.7,7.1
2016,4,41.3,-1.5
2016,5,55.8,1.3
2016,6,64.1,0.7
2016,7,70.4,2.2
2016,8,70.9,4.9
2016,9,62.9,4.0
2016,10,50.5,2.5
2016,11,40.2,3.9
2016,12,27.6,3.1
2017,1,27.9,8.1
2017,2,30.6,9.9
2017,3,28.2,-2.4
2017,4,48.8,6.0
2017,5,54.0,-0.5
2017,6,64.0,0.6
2017,7,68.1,-0.1
2017,8,65.6,-0.4
2017,9,62.3,3.4
2017,10,54.8,6.8
2017,11,36.2,-0.1
2017,12,22.6,-1.9
2018,1,19.1,-0.7
2018,2,29.4,8.7
2018,3,29.9,-0.7
2018,4,37.8,-5.0
2018,5,60.0,5.5
2018,6,63.4,0.0
2018,7,71.2,3.0
2018,8,70.4,4.4
2018,9,63.6,4.7
2018,10,47.7,-0.3
2018,11,33.3,-3.0
2018,12,28.5,4.0
2019,1,19.4,-0.4
2019,2,24.2,3.5
2019,3,29.5,-1.1
2019,4,44.5,1.7
2019,5,54.2,-0.3
2019,6,62.9,-0.5
2019,7,71.0,2.8
2019,8,66.6,0.6
2019,9,60.3,1.4
2019,10,50.2,2.2
2019,11,32.8,-3.5
2019,12,27.3,2.8
2020,1,27.7,7.9
2020,2,26.6,5.9
2020,3,37.2,6.6
2020,4,41.1,-1.7
2020,5,54.2,-0.3
2020,6,65.2,1.8
2020,7,72.9,4.7
2020,8,68.6,2.6
2020,9,59.6,0.7
2020,10,49.0,1.0
2020,11,41.9,5.6
2020,12,29.8,5.3
2021,1,24.0,4.2
2021,2,21.7,1.0
2021,3,35.0,4.4
2021,4,45.7,2.9
2021,5,54.7,0.2
2021,6,67.1,3.7
2021,7,67.7,-0.5
2021,8,70.4,4.4
2021,9,61.7,2.8
2021,10,54.8,6.8
2021,11,37.0,0.7
2021,12,32.8,8.3
2022,1,15.8,-4.0
2022,2,23.8,3.1
2022,3,33.8,3.2
2022,4,43.8,1.0
2022,5,58.6,4.1
2022,6,63.8,0.4
2022,7,69.7,1.5
2022,8,70.0,4.0
2022,9,60.5,1.6
2022,10,48.9,0.9
2022,11,41.0,4.7
2022,12,29.0,4.5
2023,1,30.5,10.7
2023,2,28.1,7.4
2023,3,32.6,2.0
2023,4,48.0,5.2
2023,5,53.8,-0.7
2023,6,63.1,-0.3
2023,7,70.7,2.5
2023,8,65.8,-0.2
2023,9,61.7,2.8
2023,10,53.0,5.0
2023,11,36.1,-0.2
2023,12,34.9,10.4
2024,1,26.6,6.8
2024,2,30.4,9.7
2024,3,37.5,6.9
2024,4,45.9,3.1
2024,5,60.1,5.6
2024,6,66.5,3.1
2024,7,71.2,3.0
2024,8,67.3,1.3
2024,9,62.4,3.5
2024,10,50.6,2.6
